200,14.3,10.37,7.53
201,14.31,10.41,7.52
202,14.32,10.44,7.52
203,14.34,10.48,7.52
204,14.35,10.51,7.51
205,14.36,10.55,7.51
206,14.38,10.58,7.5
207,14.39,10.62,7.49
208,14.41,10.65,7.49
209,14.42,10.68,7.48
210,14.44,10.72,7.47
211,14.45,10.75,7.46
212,14.47,10.78,7.45
213,14.48,10.82,7.43
214,14.5,10.85,7.42
215,14.51,10.88,7.4
216,14.52,10.91,7.39
217,14.54,10.95,7.37
218,14.55,10.98,7.36
219,14.57,11.01,7.34
220,14.58,11.04,7.32
221,14.59,11.06,7.3
222,14.61,11.09,7.28
223,14.62,11.12,7.25
224,14.64,11.15,7.23
225,14.65,11.18,7.21
226,14.66,11.2,7.19
227,14.68,11.23,7.16
228,14.69,11.25,7.14
229,14.7,11.28,7.11
230,14.72,11.3,7.08
231,14.73,11.32,7.06
232,14.74,11.35,7.03
233,14.75,11.37,7.0
234,14.77,11.39,6.97
235,14.78,11.42,6.94
236,14.79,11.44,6.91
237,14.8,11.46,6.88
238,14.81,11.48,6.85
239,14.82,11.49,6.82
240,14.83,11.51,6.79
241,14.84,11.53,6.76
242,14.85,11.55,6.73
243,14.86,11.56,6.69
244,14.87,11.58,6.66
245,14.88,11.59,6.63
246,14.89,11.61,6.59
247,14.9,11.62,6.56
248,14.9,11.63,6.52
249,14.91,11.64,6.49
250,14.92,11.66,6.45
251,14.93,11.67,6.41
252,14.93,11.68,6.38
253,14.94,11.69,6.34
254,14.94,11.7,6.31
255,14.95,11.7,6.27
256,14.96,11.71,6.23
257,14.96,11.72,6.19
258,14.96,11.72,6.16
259,14.97,11.73,6.12
260,14.97,11.73,6.08
261,14.97,11.73,6.04
262,14.97,11.74,6.01
263,14.97,11.74,5.97
264,14.97,11.74,5.93
265,14.97,11.74,5.89
266,14.97,11.74,5.85
267,14.97,11.74,5.82
268,14.97,11.74,5.78
269,14.97,11.74,5.74
270,14.97,11.73,5.7
271,14.97,11.73,5.66
272,14.97,11.72,5.63
273,14.97,11.72,5.59
274,14.96,11.71,5.55
275,14.96,11.71,5.51
276,14.96,11.7,5.48
277,14.96,11.69,5.44
278,14.95,11.68,5.4
279,14.95,11.67,5.37
280,14.94,11.66,5.33
281,14.94,11.65,5.29
282,14.94,11.64,5.26
283,14.93,11.63,5.22
284,14.92,11.62,5.19
285,14.92,11.61,5.15
286,14.91,11.6,5.11
287,14.91,11.58,5.08
288,14.9,11.57,5.04
289,14.89,11.56,5.01
290,14.89,11.54,4.97
291,14.88,11.53,4.94
292,14.87,11.51,4.91
